AccusedId,Qid,year,latitude,longitude
A/EGD/386,Q3715916,1661,55.9416,-3.14673
A/EGD/389,Q1016911,1659,55.97527778,-3.610555556
A/EGD/395,Q727520,1661,55.86666667,-3.066666667
A/EGD/398,Q727520,1661,55.86666667,-3.066666667
A/EGD/4,Q1002124,1649,55.6749,-3.77702
A/EGD/405,Q727520,1661,55.86666667,-3.066666667
A/EGD/41,Q1016920,1590,57.88,-4.03
A/EGD/412,Q4138314,1661,55.905,-3.13083
A/EGD/415,Q4138314,1661,55.905,-3.13083
A/EGD/416,Q4138314,1661,55.905,-3.13083
A/EGD/421,Q4138314,1661,55.905,-3.13083
A/EGD/425,Q1985973,1662,57.5765,-3.81595
A/EGD/426,Q1985973,1662,57.5765,-3.81595
A/EGD/427,Q1985973,1662,57.5765,-3.81595
A/EGD/428,Q1985973,1662,57.5765,-3.81595
A/EGD/429,Q1985973,1662,57.5765,-3.81595
A/EGD/430,Q1985973,1662,57.5765,-3.81595
A/EGD/431,Q1985973,1662,57.5765,-3.81595
A/EGD/432,Q1985973,1662,57.5765,-3.81595
A/EGD/434,Q1985973,1662,57.5765,-3.81595
A/EGD/435,Q1985973,1662,57.5765,-3.81595
A/EGD/436,Q1985973,1662,57.5765,-3.81595
A/EGD/437,Q1985973,1662,57.5765,-3.81595
A/EGD/438,Q1985973,1662,57.5765,-3.81595
A/EGD/44,Q1985973,1590,57.5765,-3.81595
A/EGD/445,Q980084,1662,57.58333333,-3.866666667
A/EGD/446,Q980084,1662,57.58333333,-3.866666667
A/EGD/447,Q980084,1662,57.58333333,-3.866666667
A/EGD/449,Q980084,1662,57.58333333,-3.866666667
A/EGD/450,Q980084,1662,57.58333333,-3.866666667
A/EGD/451,Q980084,1662,57.58333333,-3.866666667
A/EGD/452,Q980084,1662,57.58333333,-3.866666667
A/EGD/453,Q980084,1662,57.58333333,-3.866666667
A/EGD/454,Q980084,1662,57.58333333,-3.866666667
A/EGD/455,Q980084,1662,57.58333333,-3.866666667
A/EGD/456,Q980084,1662,57.58333333,-3.866666667
A/EGD/457,Q980084,1662,57.58333333,-3.866666667
A/EGD/458,Q980084,1662,57.58333333,-3.866666667
A/EGD/459,Q980084,1662,57.58333333,-3.866666667
A/EGD/46,Q4138314,1689,55.905,-3.13083
A/EGD/460,Q980084,1662,57.58333333,-3.866666667
A/EGD/461,Q1985973,1662,57.5765,-3.81595
A/EGD/462,Q1985973,1662,57.5765,-3.81595
A/EGD/464,Q1985973,1662,57.5765,-3.81595
A/EGD/465,Q1985973,1662,57.5765,-3.81595
A/EGD/49,Q1016920,1590,57.88,-4.03
A/EGD/492,Q1011336,1662,55.9447,-2.95417
A/EGD/5,Q34779,1650,55.94861111,-4.547222222
A/EGD/50,Q182923,1590,56.11944444,-3.935833333
A/EGD/51,Q7242055,1591,55.9597,-2.961
A/EGD/528,Q1009902,1662,55.91,-2.89098
